1932-08-29,2,1757,FARAWAY,J. B. PRIESTLEY
1932-08-29,3,3324,OBSCURE DESTINIES,WILLA CATHER
1932-09-05,1,178,A NEW YORK TEMPEST,MANUEL KOMROFF
1932-09-05,2,6279,THE SHELTERED LIFE,ELLEN GLASGOW
1932-09-05,3,5193,THE FOUNTAIN,CHARLES MORGAN
1932-09-12,1,6279,THE SHELTERED LIFE,ELLEN GLASGOW
1932-09-12,2,5193,THE FOUNTAIN,CHARLES MORGAN
1932-09-12,3,1757,FARAWAY,J. B. PRIESTLEY
1932-09-19,1,6279,THE SHELTERED LIFE,ELLEN GLASGOW
1932-09-19,2,5193,THE FOUNTAIN,CHARLES MORGAN
1932-09-19,3,5187,THE FORTRESS,HUGH WALPOLE
1932-09-26,1,6279,THE SHELTERED LIFE,ELLEN GLASGOW
1932-09-26,2,5193,THE FOUNTAIN,CHARLES MORGAN
1932-09-26,3,2421,INHERITANCE,PHYLLIS BENTLEY
1932-10-03,1,4216,SONS,PEARL S. BUCK
1932-10-03,2,6279,THE SHELTERED LIFE,ELLEN GLASGOW
1932-10-03,3,2421,INHERITANCE,PHYLLIS BENTLEY
1932-10-10,1,4216,SONS,PEARL S. BUCK
1932-10-10,2,6279,THE SHELTERED LIFE,ELLEN GLASGOW
1932-10-10,3,2421,INHERITANCE,PHYLLIS BENTLEY
1932-10-17,1,4216,SONS,PEARL S. BUCK
1932-10-17,2,6279,THE SHELTERED LIFE,ELLEN GLASGOW
1932-10-17,3,4165,SMITH,WARWICK DEEPING
1932-10-24,1,4216,SONS,PEARL S. BUCK
1932-10-24,2,5193,THE FOUNTAIN,CHARLES MORGAN
1932-10-24,3,4165,SMITH,WARWICK DEEPING
1932-10-31,1,4216,SONS,PEARL S. BUCK
1932-10-31,2,5193,THE FOUNTAIN,CHARLES MORGAN
1932-10-31,3,2421,INHERITANCE,PHYLLIS BENTLEY
1932-11-07,1,4216,SONS,PEARL S. BUCK
1932-11-07,2,4639,THE BISHOP'S JAEGERS,THORNE SMITH
1932-11-07,3,2421,INHERITANCE,PHYLLIS BENTLEY
1932-11-14,1,2450,INVITATION TO THE WALTZ,ROSAMOND LEHMANN
1932-11-14,2,3134,"MUTINY ON THE BOUNTY, Charles Nordhoff and James N. Hall. (Little, Brown.) ",
1932-11-14,3,2506,JOSEPHUS,LION FEUCHTWANGER
1932-11-21,1,1865,FLOWERING WILDERNESS,JOHN GALSWORTHY
1932-11-21,2,5855,THE NARROW CORNER,W. SOMESET MAUGHAM
1932-11-21,3,2450,INVITATION TO THE WALTZ,ROSAMOND LEHMANN
1932-11-28,1,1865,FLOWERING WILDERNESS,JOHN GALSWORTHY
1932-11-28,2,5855,THE NARROW CORNER,W. SOMESET MAUGHAM
1932-11-28,3,4639,THE BISHOP'S JAEGERS,THORNE SMITH
1932-12-05,1,1865,FLOWERING WILDERNESS,JOHN GALSWORTHY
1932-12-05,2,2450,INVITATION TO THE WALTZ,ROSAMOND LEHMANN
1932-12-05,3,5855,THE NARROW CORNER,W. SOMESET MAUGHAM
1932-12-12,1,1865,FLOWERING WILDERNESS,JOHN GALSWORTHY
1932-12-12,2,5855,THE NARROW CORNER,W. SOMESET MAUGHAM
1932-12-12,3,4639,THE BISHOP'S JAEGERS,THORNE SMITH
1932-12-19,1,1865,FLOWERING WILDERNESS,JOHN GALSWORTHY
1932-12-19,2,5855,THE NARROW CORNER,W. SOMESET MAUGHAM
1932-12-19,3,4639,THE BISHOP'S JAEGERS,THORNE SMITH
1932-12-26,1,1865,FLOWERING WILDERNESS,JOHN GALSWORTHY
1932-12-26,2,5855,THE NARROW CORNER,W. SOMESET MAUGHAM
1932-12-26,3,1899,FORGIVE US OUR TRESPASSES,LLOYD C. DOUGLAS
1933-01-02,1,1865,FLOWERING WILDERNESS,JOHN GALSWORTHY
1933-01-02,2,5855,THE NARROW CORNER,W. SOMESET MAUGHAM
1933-01-02,3,4639,THE BISHOP'S JAEGERS,THORNE SMITH
1933-01-09,1,1865,FLOWERING WILDERNESS,JOHN GALSWORTHY
1933-01-09,2,627,BEAUTY,FAITH BALDWIN
1933-01-09,3,5574,THE LAST ADAM,JAMES G. COZZENS
1933-01-16,1,5574,THE LAST ADAM,JAMES G. COZZENS
1933-01-16,2,5855,THE NARROW CORNER,W. SOMESET MAUGHAM
1933-01-16,3,627,BEAUTY,FAITH BALDWIN
1933-01-23,1,5574,THE LAST ADAM,JAMES G. COZZENS
1933-01-23,2,5526,THE KENNEL MURDER CASE,S. S. VAN DINE
1933-01-23,3,3186,NEVER ASK THE END,ISABEL PATERSON
1933-01-30,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-01-30,2,5574,THE LAST ADAM,JAMES G. COZZENS
1933-01-30,3,5526,THE KENNEL MURDER CASE,S. S. VAN DINE
1933-02-06,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-02-06,2,5574,THE LAST ADAM,JAMES G. COZZENS
1933-02-06,3,4732,THE BULPINGTON OF BLUP,H. G. WELLS
1933-02-13,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-02-13,2,5574,THE LAST ADAM,JAMES G. COZZENS
1933-02-13,3,2368,IMITATION OF LIFE,FANNIE HURST
1933-02-20,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-02-20,2,5574,THE LAST ADAM,JAMES G. COZZENS
1933-02-20,3,3440,PAGEANT,G. B. LANCASTER
1933-02-27,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-02-27,2,3440,PAGEANT,G. B. LANCASTER
1933-02-27,3,5526,THE KENNEL MURDER CASE,S. S. VAN DINE
1933-03-06,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-03-06,2,3383,ONE MORE SPRING,ROBERT NATHAN
1933-03-06,3,2107,HARDY PERENNIAL,HELEN HULL
1933-03-13,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-03-13,2,3383,ONE MORE SPRING,ROBERT NATHAN
1933-03-13,3,2107,HARDY PERENNIAL,HELEN HULL
1933-03-20,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-03-20,2,3408,ORIENT EXPRESS,GRAHAM GREENE
1933-03-20,3,3383,ONE MORE SPRING,ROBERT NATHAN
1933-03-27,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-03-27,2,7164,WALLS OF GOLD,KATHLEEN NORRIS
1933-03-27,3,4222,SOUTH MOON UNDER,MARJORIE K. RAWLINGS
1933-04-03,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-04-03,2,4222,SOUTH MOON UNDER,MARJORIE K. RAWLINGS
1933-04-03,3,1960,GABRIEL OVER THE WHITE HOUSE,ANONYMOUS
1933-04-10,1,472,ANN VICKERS,SINCLAIR LEWIS
1933-04-10,2,3383,ONE MORE SPRING,ROBERT NATHAN
1933-04-10,3,6671,THE WEREWOLF OF PARIS,GUY ENDORE
1933-04-17,1,6671,THE WEREWOLF OF PARIS,GUY ENDORE
1933-04-17,2,472,ANN VICKERS,SINCLAIR LEWIS
1933-04-17,3,4222,SOUTH MOON UNDER,MARJORIE K. RAWLINGS
1933-04-24,1,3701,RAIN IN THE DOORWAY,THORNE SMITH
1933-04-24,2,6671,THE WEREWOLF OF PARIS,GUY ENDORE
1933-04-24,3,4222,SOUTH MOON UNDER,MARJORIE K. RAWLINGS
1933-05-01,1,6671,THE WEREWOLF OF PARIS,GUY ENDORE
1933-05-01,2,3701,RAIN IN THE DOORWAY,THORNE SMITH
1933-05-01,3,3383,ONE MORE SPRING,ROBERT NATHAN
1933-05-08,1,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-05-08,2,3383,ONE MORE SPRING,ROBERT NATHAN
1933-05-08,3,3701,RAIN IN THE DOORWAY,THORNE SMITH
1933-05-15,1,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
1933-05-15,2,6785,THEY BROUGHT THEIR WOMEN,EDNA FERBER
1933-05-15,3,3701,RAIN IN THE DOORWAY,THORNE SMITH
1933-05-22,1,6399,THE STORE,T. S. STRIBLING
1933-05-22,2,518,AS THE EARTH TURNS,GLADYS HASTY CARROLL
