1985-12-22,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1985-12-22,3,4483,TEXAS,JAMES A. MICHENER
1985-12-22,4,1149,CONTACT,CARL SAGAN
1985-12-22,5,3984,SECRETS,DANIELLE STEEL
1985-12-22,6,6029,THE POLAR EXPRESS,WRITTEN AND ILLUSTRATED BY CHRIS VAN ALLSBURG
1985-12-22,7,1964,GALAPAGOS,KURT VONNEGUT
1985-12-22,8,7368,WORLD'S FAIR,E. L. DOCTOROW
1985-12-22,9,6242,THE SECRETS OF HARRY BRIGHT,JOSEPH WAMBAUGH
1985-12-22,10,4126,SKELETON CREW,STEPHEN KING
1985-12-22,11,4787,THE CAT WHO WALKS THROUGH WALLS,ROBERT A. HEINLEIN
1985-12-22,12,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1985-12-22,13,7221,WHAT'S BRED IN THE BONE,ROBERTSON DAVIES
1985-12-22,14,2845,LUCKY,JACKIE COLLINS
1985-12-22,15,6599,THE VAMPIRE LESTAT,ANNE RICE
1985-12-29,1,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1985-12-29,2,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1985-12-29,3,4483,TEXAS,JAMES A. MICHENER
1985-12-29,4,1149,CONTACT,CARL SAGAN
1985-12-29,5,3984,SECRETS,DANIELLE STEEL
1985-12-29,6,1964,GALAPAGOS,KURT VONNEGUT
1985-12-29,7,6029,THE POLAR EXPRESS,WRITTEN AND ILLUSTRATED BY CHRIS VAN ALLSBURG
1985-12-29,8,4126,SKELETON CREW,STEPHEN KING
1985-12-29,9,4787,THE CAT WHO WALKS THROUGH WALLS,ROBERT A. HEINLEIN
1985-12-29,10,6242,THE SECRETS OF HARRY BRIGHT,JOSEPH WAMBAUGH
1985-12-29,11,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1985-12-29,12,7368,WORLD'S FAIR,E. L. DOCTOROW
1985-12-29,13,7221,WHAT'S BRED IN THE BONE,ROBERTSON DAVIES
1985-12-29,14,2749,LONDON MATCH,LEN DEIGHTON
1985-12-29,15,2845,LUCKY,JACKIE COLLINS
1986-01-05,1,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-01-05,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-01-05,3,4483,TEXAS,JAMES A. MICHENER
1986-01-05,4,1149,CONTACT,CARL SAGAN
1986-01-05,5,3984,SECRETS,DANIELLE STEEL
1986-01-05,6,4126,SKELETON CREW,STEPHEN KING
1986-01-05,7,1964,GALAPAGOS,KURT VONNEGUT
1986-01-05,8,6029,THE POLAR EXPRESS,WRITTEN AND ILLUSTRATED BY CHRIS VAN ALLSBURG
1986-01-05,9,6242,THE SECRETS OF HARRY BRIGHT,JOSEPH WAMBAUGH
1986-01-05,10,7368,WORLD'S FAIR,E. L. DOCTOROW
1986-01-05,11,4787,THE CAT WHO WALKS THROUGH WALLS,ROBERT A. HEINLEIN
1986-01-05,12,7221,WHAT'S BRED IN THE BONE,ROBERTSON DAVIES
1986-01-05,13,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-01-05,14,2749,LONDON MATCH,LEN DEIGHTON
1986-01-05,15,2845,LUCKY,JACKIE COLLINS
1986-01-05,16,6599,THE VAMPIRE LESTAT,ANNE RICE
1986-01-12,1,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-01-12,2,4483,TEXAS,JAMES A. MICHENER
1986-01-12,3,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-01-12,4,1149,CONTACT,CARL SAGAN
1986-01-12,5,3984,SECRETS,DANIELLE STEEL
1986-01-12,6,4126,SKELETON CREW,STEPHEN KING
1986-01-12,7,1964,GALAPAGOS,KURT VONNEGUT
1986-01-12,8,6242,THE SECRETS OF HARRY BRIGHT,JOSEPH WAMBAUGH
1986-01-12,9,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-01-12,10,6029,THE POLAR EXPRESS,WRITTEN AND ILLUSTRATED BY CHRIS VAN ALLSBURG
1986-01-12,11,4787,THE CAT WHO WALKS THROUGH WALLS,ROBERT A. HEINLEIN
1986-01-12,12,7368,WORLD'S FAIR,E. L. DOCTOROW
1986-01-12,13,2845,LUCKY,JACKIE COLLINS
1986-01-12,14,4587,THE BACHMAN BOOKS,STEPHEN KING
1986-01-12,15,6410,THE STORYTELLER,HAROLD ROBBINS
1986-01-12,16,2749,LONDON MATCH,LEN DEIGHTON
1986-01-19,1,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-01-19,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-01-19,3,4483,TEXAS,JAMES A. MICHENER
1986-01-19,4,1149,CONTACT,CARL SAGAN
1986-01-19,5,3984,SECRETS,DANIELLE STEEL
1986-01-19,6,1964,GALAPAGOS,KURT VONNEGUT
1986-01-19,7,2845,LUCKY,JACKIE COLLINS
1986-01-19,8,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-01-19,9,6242,THE SECRETS OF HARRY BRIGHT,JOSEPH WAMBAUGH
1986-01-19,10,7221,WHAT'S BRED IN THE BONE,ROBERTSON DAVIES
1986-01-19,11,2749,LONDON MATCH,LEN DEIGHTON
1986-01-19,12,4126,SKELETON CREW,STEPHEN KING
1986-01-19,13,4787,THE CAT WHO WALKS THROUGH WALLS,ROBERT A. HEINLEIN
1986-01-19,14,6410,THE STORYTELLER,HAROLD ROBBINS
1986-01-19,15,7368,WORLD'S FAIR,E. L. DOCTOROW
1986-01-26,1,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-01-26,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-01-26,3,4483,TEXAS,JAMES A. MICHENER
1986-01-26,4,1149,CONTACT,CARL SAGAN
1986-01-26,5,3984,SECRETS,DANIELLE STEEL
1986-01-26,6,1230,CYCLOPS,CLIVE CUSSLER
1986-01-26,7,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-01-26,8,1964,GALAPAGOS,KURT VONNEGUT
1986-01-26,9,2749,LONDON MATCH,LEN DEIGHTON
1986-01-26,10,7221,WHAT'S BRED IN THE BONE,ROBERTSON DAVIES
1986-01-26,11,6410,THE STORYTELLER,HAROLD ROBBINS
1986-01-26,12,4787,THE CAT WHO WALKS THROUGH WALLS,ROBERT A. HEINLEIN
1986-01-26,13,7368,WORLD'S FAIR,E. L. DOCTOROW
1986-01-26,14,2845,LUCKY,JACKIE COLLINS
1986-01-26,15,4126,SKELETON CREW,STEPHEN KING
1986-02-02,1,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-02-02,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-02-02,3,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-02-02,4,1230,CYCLOPS,CLIVE CUSSLER
1986-02-02,5,4483,TEXAS,JAMES A. MICHENER
1986-02-02,6,1149,CONTACT,CARL SAGAN
1986-02-02,7,3984,SECRETS,DANIELLE STEEL
1986-02-02,8,6410,THE STORYTELLER,HAROLD ROBBINS
1986-02-02,9,1964,GALAPAGOS,KURT VONNEGUT
1986-02-02,10,2749,LONDON MATCH,LEN DEIGHTON
1986-02-02,11,7221,WHAT'S BRED IN THE BONE,ROBERTSON DAVIES
1986-02-02,12,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-02-02,13,7368,WORLD'S FAIR,E. L. DOCTOROW
1986-02-02,14,6268,THE SEVENTH SECRET,IRVING WALLACE
1986-02-02,15,6242,THE SECRETS OF HARRY BRIGHT,JOSEPH WAMBAUGH
1986-02-09,1,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-02-09,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-02-09,3,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-02-09,4,1230,CYCLOPS,CLIVE CUSSLER
1986-02-09,5,4483,TEXAS,JAMES A. MICHENER
1986-02-09,6,1149,CONTACT,CARL SAGAN
1986-02-09,7,3984,SECRETS,DANIELLE STEEL
1986-02-09,8,6410,THE STORYTELLER,HAROLD ROBBINS
1986-02-09,9,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-02-09,10,2749,LONDON MATCH,LEN DEIGHTON
1986-02-09,11,4325,STONE 588,GERALD A. BROWNE
1986-02-09,12,5636,THE LEBARON SECRET,STEPHEN BIRMINGHAM
1986-02-09,13,7221,WHAT'S BRED IN THE BONE,ROBERTSON DAVIES
1986-02-09,14,6268,THE SEVENTH SECRET,IRVING WALLACE
1986-02-09,15,1964,GALAPAGOS,KURT VONNEGUT
1986-02-16,1,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-02-16,2,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-02-16,3,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-02-16,4,1230,CYCLOPS,CLIVE CUSSLER
1986-02-16,5,4483,TEXAS,JAMES A. MICHENER
1986-02-16,6,1149,CONTACT,CARL SAGAN
1986-02-16,7,5636,THE LEBARON SECRET,STEPHEN BIRMINGHAM
1986-02-16,8,466,ANGELS OF SEPTEMBER,ANDREW M. GREELEY
1986-02-16,9,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-02-16,10,4325,STONE 588,GERALD A. BROWNE
1986-02-16,11,6410,THE STORYTELLER,HAROLD ROBBINS
1986-02-16,12,3984,SECRETS,DANIELLE STEEL
1986-02-16,13,2845,LUCKY,JACKIE COLLINS
1986-02-16,14,6268,THE SEVENTH SECRET,IRVING WALLACE
1986-02-16,15,2749,LONDON MATCH,LEN DEIGHTON
1986-02-23,1,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-02-23,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-02-23,3,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-02-23,4,1230,CYCLOPS,CLIVE CUSSLER
1986-02-23,5,4483,TEXAS,JAMES A. MICHENER
1986-02-23,6,1149,CONTACT,CARL SAGAN
1986-02-23,7,5636,THE LEBARON SECRET,STEPHEN BIRMINGHAM
1986-02-23,8,466,ANGELS OF SEPTEMBER,ANDREW M. GREELEY
1986-02-23,9,4325,STONE 588,GERALD A. BROWNE
1986-02-23,10,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-02-23,11,3984,SECRETS,DANIELLE STEEL
1986-02-23,12,6410,THE STORYTELLER,HAROLD ROBBINS
1986-02-23,13,6268,THE SEVENTH SECRET,IRVING WALLACE
1986-02-23,14,7368,WORLD'S FAIR,E. L. DOCTOROW
1986-02-23,15,2749,LONDON MATCH,LEN DEIGHTON
1986-02-23,16,7221,WHAT'S BRED IN THE BONE,ROBERTSON DAVIES
1986-03-02,1,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-03-02,2,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-03-02,3,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-03-02,4,1230,CYCLOPS,CLIVE CUSSLER
1986-03-02,5,4483,TEXAS,JAMES A. MICHENER
1986-03-02,6,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-03-02,7,466,ANGELS OF SEPTEMBER,ANDREW M. GREELEY
1986-03-02,8,1149,CONTACT,CARL SAGAN
1986-03-02,9,4325,STONE 588,GERALD A. BROWNE
1986-03-02,10,5636,THE LEBARON SECRET,STEPHEN BIRMINGHAM
1986-03-02,11,6268,THE SEVENTH SECRET,IRVING WALLACE
1986-03-02,12,3625,PRIVATE AFFAIRS,JUDITH MICHAEL
1986-03-02,13,3984,SECRETS,DANIELLE STEEL
1986-03-02,14,6410,THE STORYTELLER,HAROLD ROBBINS
1986-03-02,15,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-03-09,1,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-03-09,2,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-03-09,3,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-03-09,4,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-03-09,5,1230,CYCLOPS,CLIVE CUSSLER
1986-03-09,6,4483,TEXAS,JAMES A. MICHENER
1986-03-09,7,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-03-09,8,466,ANGELS OF SEPTEMBER,ANDREW M. GREELEY
1986-03-09,9,5636,THE LEBARON SECRET,STEPHEN BIRMINGHAM
1986-03-09,10,3625,PRIVATE AFFAIRS,JUDITH MICHAEL
1986-03-09,11,1149,CONTACT,CARL SAGAN
1986-03-09,12,4325,STONE 588,GERALD A. BROWNE
1986-03-09,13,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-03-09,14,3984,SECRETS,DANIELLE STEEL
1986-03-09,15,6268,THE SEVENTH SECRET,IRVING WALLACE
1986-03-16,1,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-03-16,2,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-03-16,3,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-03-16,4,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-03-16,5,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-03-16,6,1230,CYCLOPS,CLIVE CUSSLER
1986-03-16,7,4483,TEXAS,JAMES A. MICHENER
1986-03-16,8,3625,PRIVATE AFFAIRS,JUDITH MICHAEL
1986-03-16,9,5636,THE LEBARON SECRET,STEPHEN BIRMINGHAM
1986-03-16,10,1149,CONTACT,CARL SAGAN
1986-03-16,11,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-03-16,12,4325,STONE 588,GERALD A. BROWNE
1986-03-16,13,466,ANGELS OF SEPTEMBER,ANDREW M. GREELEY
1986-03-16,14,3984,SECRETS,DANIELLE STEEL
1986-03-16,15,6410,THE STORYTELLER,HAROLD ROBBINS
1986-03-23,1,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-03-23,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-03-23,3,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-03-23,4,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-03-23,5,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-03-23,6,1230,CYCLOPS,CLIVE CUSSLER
1986-03-23,7,4483,TEXAS,JAMES A. MICHENER
1986-03-23,8,3625,PRIVATE AFFAIRS,JUDITH MICHAEL
1986-03-23,9,823,BREAK IN,DICK FRANCIS
1986-03-23,10,1149,CONTACT,CARL SAGAN
1986-03-23,11,466,ANGELS OF SEPTEMBER,ANDREW M. GREELEY
1986-03-23,12,5636,THE LEBARON SECRET,STEPHEN BIRMINGHAM
1986-03-23,13,4325,STONE 588,GERALD A. BROWNE
1986-03-23,14,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-03-23,15,2494,JOANNA'S HUSBAND AND DAVID'S WIFE,ELIZABETH FORSYTHE HAILEY
1986-03-30,1,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-03-30,2,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-03-30,3,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-03-30,4,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-03-30,5,823,BREAK IN,DICK FRANCIS
1986-03-30,6,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-03-30,7,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-03-30,8,3625,PRIVATE AFFAIRS,JUDITH MICHAEL
1986-03-30,9,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-03-30,10,4483,TEXAS,JAMES A. MICHENER
1986-03-30,11,1230,CYCLOPS,CLIVE CUSSLER
1986-03-30,12,2494,JOANNA'S HUSBAND AND DAVID'S WIFE,ELIZABETH FORSYTHE HAILEY
1986-03-30,13,4325,STONE 588,GERALD A. BROWNE
1986-03-30,14,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-03-30,15,5636,THE LEBARON SECRET,STEPHEN BIRMINGHAM
1986-04-06,1,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-04-06,2,823,BREAK IN,DICK FRANCIS
1986-04-06,3,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-04-06,4,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-04-06,5,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-04-06,6,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-04-06,7,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-04-06,8,2494,JOANNA'S HUSBAND AND DAVID'S WIFE,ELIZABETH FORSYTHE HAILEY
1986-04-06,9,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-04-06,10,3625,PRIVATE AFFAIRS,JUDITH MICHAEL
1986-04-06,11,3184,NERILKA'S STORY,ANNE MCCAFFREY
1986-04-06,12,4483,TEXAS,JAMES A. MICHENER
1986-04-06,13,1230,CYCLOPS,CLIVE CUSSLER
1986-04-06,14,708,BLACK GENESIS,L. RON HUBBARD
1986-04-06,15,4516,THE ACCIDENTAL TOURIST,ANNE TYLER
1986-04-06,16,4325,STONE 588,GERALD A. BROWNE
1986-04-13,1,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-04-13,2,823,BREAK IN,DICK FRANCIS
1986-04-13,3,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-04-13,4,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-04-13,5,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-04-13,6,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-04-13,7,2494,JOANNA'S HUSBAND AND DAVID'S WIFE,ELIZABETH FORSYTHE HAILEY
1986-04-13,8,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-04-13,9,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-04-13,10,3625,PRIVATE AFFAIRS,JUDITH MICHAEL
1986-04-13,11,4483,TEXAS,JAMES A. MICHENER
1986-04-13,12,3184,NERILKA'S STORY,ANNE MCCAFFREY
1986-04-13,13,1230,CYCLOPS,CLIVE CUSSLER
1986-04-13,14,4325,STONE 588,GERALD A. BROWNE
1986-04-13,15,2195,HIGH JINX,WILLIAM F. BUCKLEY JR.
1986-04-13,16,708,BLACK GENESIS,L. RON HUBBARD
1986-04-20,1,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-04-20,2,823,BREAK IN,DICK FRANCIS
1986-04-20,3,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-04-20,4,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-04-20,5,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-04-20,6,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-04-20,7,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-04-20,8,5356,THE HANDMAID'S TALE,MARGARET ATWOOD.
1986-04-20,9,3184,NERILKA'S STORY,ANNE MCCAFFREY
1986-04-20,10,2194,HIGH JINX,WILLIAM F. BUCKLEY JR
1986-04-20,11,2494,JOANNA'S HUSBAND AND DAVID'S WIFE,ELIZABETH FORSYTHE HAILEY
1986-04-20,12,3625,PRIVATE AFFAIRS,JUDITH MICHAEL
1986-04-20,13,4483,TEXAS,JAMES A. MICHENER
1986-04-20,14,6683,THE WHITE HOUSE MESS,CHRISTOPHER BUCKLEY
1986-04-20,15,3455,PARADISE POSTPONED,JOHN MORTIMER
1986-04-20,16,1230,CYCLOPS,CLIVE CUSSLER
1986-04-20,17,708,BLACK GENESIS,L. RON HUBBARD
1986-04-27,1,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-04-27,2,2335,I'LL TAKE MANHATTAN,JUDITH KRANTZ.
1986-04-27,3,189,A PERFECT SPY,JOHN LE CARR��
1986-04-27,4,823,BREAK IN,DICK FRANCIS
1986-04-27,5,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-04-27,6,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-04-27,7,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-04-27,8,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-04-27,9,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-04-27,10,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-04-27,11,2194,HIGH JINX,WILLIAM F. BUCKLEY JR
1986-04-27,12,2493,JOANNA'S HUSBAND AND DAVID'S WIFE,ELIZABETH FORSYTHE HAILEY
1986-04-27,13,3184,NERILKA'S STORY,ANNE MCCAFFREY
1986-04-27,14,4483,TEXAS,JAMES A. MICHENER
1986-04-27,15,1230,CYCLOPS,CLIVE CUSSLER
1986-05-04,1,189,A PERFECT SPY,JOHN LE CARR��
1986-05-04,2,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-05-04,3,2334,I'LL TAKE MANHATTAN,JUDITH KRANTZ
1986-05-04,4,823,BREAK IN,DICK FRANCIS
1986-05-04,5,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-05-04,6,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-05-04,7,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-05-04,8,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-05-04,9,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-05-04,10,2494,JOANNA'S HUSBAND AND DAVID'S WIFE,ELIZABETH FORSYTHE HAILEY
1986-05-04,11,6358,THE SONGS OF DISTANT EARTH,ARTHUR C. CLARKE
1986-05-04,12,2194,HIGH JINX,WILLIAM F. BUCKLEY JR
1986-05-04,13,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-05-04,14,3184,NERILKA'S STORY,ANNE MCCAFFREY
1986-05-04,15,6683,THE WHITE HOUSE MESS,CHRISTOPHER BUCKLEY
1986-05-11,1,189,A PERFECT SPY,JOHN LE CARR��
1986-05-11,2,2334,I'LL TAKE MANHATTAN,JUDITH KRANTZ
1986-05-11,3,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-05-11,4,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-05-11,5,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-05-11,6,823,BREAK IN,DICK FRANCIS
1986-05-11,7,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-05-11,8,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-05-11,9,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-05-11,10,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-05-11,11,3456,PARADISE POSTPONED,JOHN MORTIMER.
1986-05-11,12,2870,MAGIC KINGDOM FOR SALE: Sold,! BY TERRY BROOKS
1986-05-11,13,3184,NERILKA'S STORY,ANNE MCCAFFREY
1986-05-11,14,6683,THE WHITE HOUSE MESS,CHRISTOPHER BUCKLEY
1986-05-11,15,4351,STRANGERS,DEAN R. KOONTZ
1986-05-18,1,189,A PERFECT SPY,JOHN LE CARR��
1986-05-18,2,2334,I'LL TAKE MANHATTAN,JUDITH KRANTZ
1986-05-18,3,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-05-18,4,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-05-18,5,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-05-18,6,823,BREAK IN,DICK FRANCIS
1986-05-18,7,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-05-18,8,4680,THE BOOK OF ABRAHAM,MAREK HALTER
1986-05-18,9,5309,THE GOOD MOTHER,SUE MILLER
1986-05-18,10,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-05-18,11,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-05-18,12,2193,HIGH HEARTS,RITA MAE BROWN
1986-05-18,13,2494,JOANNA'S HUSBAND AND DAVID'S WIFE,ELIZABETH FORSYTHE HAILEY
1986-05-18,14,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-05-18,15,2753,LONESOME DOVE,LARRY MCMURTRY
1986-05-18,16,3184,NERILKA'S STORY,ANNE MCCAFFREY
1986-05-25,1,2334,I'LL TAKE MANHATTAN,JUDITH KRANTZ
1986-05-25,2,189,A PERFECT SPY,JOHN LE CARR��
1986-05-25,3,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-05-25,4,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-05-25,5,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-05-25,6,823,BREAK IN,DICK FRANCIS
1986-05-25,7,5309,THE GOOD MOTHER,SUE MILLER
1986-05-25,8,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-05-25,9,2230,HOME FRONT,PATTI DAVIS WITH MAUREEN STRANGE FOSTER
1986-05-25,10,5065,THE ENEMY WITHIN,L. RON HUBBARD
1986-05-25,11,3965,SEASONS OF THE HEART,CYNTHIA FREEMAN
1986-05-25,12,6358,THE SONGS OF DISTANT EARTH,ARTHUR C. CLARKE
1986-05-25,13,2193,HIGH HEARTS,RITA MAE BROWN
1986-05-25,14,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-05-25,15,4680,THE BOOK OF ABRAHAM,MAREK HALTER
1986-06-01,1,189,A PERFECT SPY,JOHN LE CARR��
1986-06-01,2,2334,I'LL TAKE MANHATTAN,JUDITH KRANTZ
1986-06-01,3,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-06-01,4,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-06-01,5,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-06-01,6,4680,THE BOOK OF ABRAHAM,MAREK HALTER
1986-06-01,7,5309,THE GOOD MOTHER,SUE MILLER
1986-06-01,8,823,BREAK IN,DICK FRANCIS
1986-06-01,9,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-06-01,10,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-06-01,11,5224,THE GARDEN OF EDEN,ERNEST HEMINGWAY
1986-06-01,12,3279,NOBODY LIVES FOREVER,JOHN GARDNER
1986-06-01,13,2193,HIGH HEARTS,RITA MAE BROWN
1986-06-01,14,6358,THE SONGS OF DISTANT EARTH,ARTHUR C. CLARKE
1986-06-01,15,2870,MAGIC KINGDOM FOR SALE: Sold,! BY TERRY BROOKS
1986-06-08,1,2334,I'LL TAKE MANHATTAN,JUDITH KRANTZ
1986-06-08,2,189,A PERFECT SPY,JOHN LE CARR��
1986-06-08,3,4707,THE BOURNE SUPREMACY,ROBERT LUDLUM
1986-06-08,4,5309,THE GOOD MOTHER,SUE MILLER
1986-06-08,5,2624,LAKE WOBEGON DAYS,GARRISON KEILLOR
1986-06-08,6,5224,THE GARDEN OF EDEN,ERNEST HEMINGWAY
1986-06-08,7,5744,THE MAMMOTH HUNTERS,JEAN M. AUEL
1986-06-08,8,5040,THE EIGHTH COMMANDMENT,LAWRENCE SANDERS
1986-06-08,9,3279,NOBODY LIVES FOREVER,JOHN GARDNER
1986-06-08,10,2690,LIE DOWN WITH LIONS,KEN FOLLETT
1986-06-08,11,823,BREAK IN,DICK FRANCIS
1986-06-08,12,5355,THE HANDMAID'S TALE,MARGARET ATWOOD
1986-06-08,13,4680,THE BOOK OF ABRAHAM,MAREK HALTER
1986-06-08,14,4278,STALLION GATE,MARTIN CRUZ SMITH
