1135,COMPULSION,MEYER LEVIN,54,1956-11-18,2
1136,CONCEALED IN DEATH,J. D. ROBB,4,2014-03-09,1
1137,CONDOMINIUM,JOHN D. MACDONALD,27,1977-04-24,3
1138,CONFESSIONAL,JACK HIGGINS,1,1985-07-07,15
1139,CONFESSIONS OF A SOCIOPATHIC SOCIAL CLIMBER,ADÈLE LANG,1,2002-06-23,14
114,A GARDEN TO THE EASTWARD,HAROLD LAMB,2,1947-04-13,13
1140,CONFESSIONS OF A WILD CHILD,JACKIE COLLINS,1,2014-02-23,13
1141,CONFESSIONS OF FELIX KRULL,THOMAS MANN,8,1955-10-09,8
1142,CONFESSOR,TERRY GOODKIND,4,2007-12-02,2
1143,CONFESSORS OF THE NAME,GLADYS SCHMITT,4,1952-11-16,11
1144,CONGO,MICHAEL CRICHTON,12,1980-12-28,6
1145,CONGO SONG,STUART CLOETE,1,1943-03-22,5
1146,CONNECTIONS IN DEATH,J.D. ROBB,4,2019-02-24,3
1147,CONSENT TO KILL,VINCE FLYNN,6,2005-10-30,3
1148,"CONSIDER THIS, SENORA",HARRIET DOERR,2,1993-09-19,13
1149,CONTACT,CARL SAGAN,24,1985-10-13,3
115,A GATE AT THE STAIRS,LORRIE MOORE,3,2009-09-20,10
1150,CONTAGION,ROBIN COOK,8,1996-01-28,4
1151,CONTRABAND,STUART WOODS,1,2019-09-01,10
1152,CONVENTION,FLETCHER KNEBEL AND CHARLES W. BAILEY II,27,1964-03-29,2
1153,CONVICTION,AARON ALLSTON,2,2011-06-12,3
1154,CONVICTION,RICHARD NORTH PATTERSON,4,2005-02-13,4
1155,COP TOWN,KARIN SLAUGHTER,1,2014-07-13,9
1156,COPPER BEACH,JAYNE ANN KRENTZ,1,2012-01-29,8
1157,COROMANDEL!,JOHN MASTERS,3,1955-04-17,15
1158,CORPUS OF JOE BAILEY,OAKLEY HALL,6,1953-05-03,10
1159,CORSAIR,CLIVE CUSSLER AND JACK DU BRUL,5,2009-03-29,2
116,A GENTLEMAN IN MOSCOW,AMOR TOWLES,59,2016-09-25,6
1160,COSMOPOLITANS,SOMERSET MAUGHAM,1,1936-03-09,7
1161,COTTAGE BY THE SEA,DEBBIE MACOMBER,6,2018-08-05,3
1162,COUNTDOWN,IRIS JOHANSEN,3,2005-05-29,6
1163,COUNTERATTACK,W. E. B. GRIFFIN,11,1990-02-04,5
1164,COUNTRY,DANIELLE STEEL,3,2015-07-05,8
1165,COUNTRY CHRONICLE,ANGELA THIRKELL,4,1950-11-26,15
1166,COUP DE GRACE,MARGUERITE YOURCENAR,1,1957-08-11,16
1167,COUPLES,JOHN UPDIKE,36,1968-04-14,1
1168,COURTING TROUBLE,LISA SCOTTOLINE,3,2002-06-09,8
1169,COVER OF NIGHT,LINDA HOWARD,4,2006-07-16,6
117,A GIRL'S GUIDE TO MOVING ON,DEBBIE MACOMBER,2,2016-03-20,5
1170,COVERT GAME,CHRISTINE FEEHAN,1,2018-04-08,12
