LARRY COLLINS,1
ANITA LOOS,1
TRACY CHEVALIER,5
DON DELILLO,5
SHEL SILVERSTEIN,1
SARA PARETSKY,11
DOROTHY UHNAK,3
LAVYRLE SPENCER,10
SUE MILLER,6
SUSAN WIGGS,3
HELEN VAN SLYKE,3
ERICA JONG,3
MICHAEL SADLEIR,1
FRANCIS BRETT YOUNG,4
WARREN EYSTER,1
PETER MATTHIESSEN,3
J. B. PRIESTLEY,3
GILBERT FRANKAU,3
E. M. DELAFIELD,2
J.A. JANCE,4
TROY DENNING,5
LAUREN GROFF,2
EDWARD STREETER,4
HERBERT GOLD,1
MANUEL KOMROFF,1
VICTORIA LINCOLN,2
STARK YOUNG,2
J.B. PRIESTLEY,1
ERICH MARIA REMARQUE,7
TOM ROBBINS,5
ROBERTSON DAVIES,4
JAMES PATTERSON AND CANDICE FOX,4
ASHA LEMMIE,1
HELEN REILLY,1
CLIVE CUSSLER AND BOYD MORRISON,6
MARY GORDON,3
MAZO DE LA ROCHE,4
JEWEL KILCHER,1
RICHARD PAUL EVANS,31
FRITZ PETERS,1
JOSEPH WAMBAUGH,12
GEORGE R. STEWART,1
GEORGE R.R. MARTIN,1
"J. A, JANCE",1
JOHN GRISHAM,35
MARY RENAULT,8
CLIVE CUSSLER WITH PAUL KEMPRECOS,5
DAVID GARTH,1
KRISTIN HANNAH,9
DORIS MORTMAN,2
EMILY GIFFIN,8
SARAH ADDISON ALLEN,5
TERRY BROOKS,26
JAMES PATTERSON AND EMILY RAYMOND,1
LOUIS GOLDING,3
LAURENS VAN DER POST,1
PAUL MOLLOY,1
TAFFY BRODESSER-AKNER,1
BARBARA KINGSOLVER,6
STEPHEN COONTS.,1
PETER STRAUB,4
E. PHILLIPS OPPENHEIM,9
JOHN GALSWORTHY,3
JENNIFER WEINER,12
ARTHUR MILLER,1
ELEANOR CARROLL CHILTON,1
DOROTHEA BENTON FRANK,17
CHRISTOPHER MOORE,9
ROBIN HOBB,3
MARIO PUZO,6
LARRY NIVEN AND JERRY POURNELLE,1
IVANA TRUMP,1
MITCH ALBOM,7
JOHN GARDNER,11
OMAR TYREE,1
ERNEST HEMINGWAY,7
PETE HAMILL,2
KATHLEEN WINSOR,3
JUDITH VIORST,1
CHRISTINA BAKER KLINE,2
ISAAC ASIMOV,6
UMBERTO ECO,5
LELLA WARREN,1
JAMES WESLEY RAWLES,2
CANDACE BUSHNELL,4
MEGAN MCCAFFERTY,2
NEIL GAIMAN,6
J.D. SALINGER,4
ROSE WILDER LANE,1
JONATHAN FRANZEN,3
WILLIAM SAFIRE,2
ERIC VAN LUSTBADER,13
DAPHNE DU MAURIER,13
FATIMA FARHEEN MIRZA,1
ROBERT A. HEINLEIN,4
J. COURTNEY SULLIVAN,2
ALEXANDER MCCALL SMITH,24
EMMA DONOGHUE,3
JAMES JONES,5
SARAH GAINHAM,2
JACK FINNEY,1
KELLEY ARMSTRONG,3
ALEC WAUGH,3
DORIS LESLIE,1
JOE HILL,6
LEN DEIGHTON,13
SALMAN RUSHDIE,8
LOUISE ERDRICH,7
ANONYMOUS,3
JORGE AMADO,1
JAMES CLAVELL,6
ROBERT MORGAN,1
EILEEN GOUDGE,2
DOROTHY L. SAYERS,2
WILLIAM KELLEY,1
PATRICK DENNIS,4
ELIZABETH GOUDGE,12
LAURA Z. HOBSON,3
JANE MCILVAINE MCCLARY,1
TERRY MCMILLAN,8
ROSIE WALSH,1
SINCLAIR LEWIS,10
DOUGLAS PRESTON,5
HUGH WALPOLE,9
MARILYNNE ROBINSON,4
JOHN BARTH,1
CRISTINA ALGER,1
ARTHEMISE GOERTZ,1
JOHN IRVING,11
HARPER LEE,2
DAVID NIVEN,1
R.F. DELDERFIELD,3
JOSEPH HELLER,3
FANNIE HURST,4
DON IMUS,1
JEFF SHAARA,12
FRANCIS VAN WYCK MASON,2
JAMES PATTERSON AND MICHAEL LEDWIDGE,12
GILLIAN FLYNN,1
LEE CHILD,18
MARGARET MITCHELL,1
PHILLIP MARGOLIN,9
LOLLY WINSTON,2
FRANCES GRAY PATTON,1
JAMES HILTON,8
ALLISTAIR MACLEAN,2
A. J. CRONIN,6
LOUIS KRONENBERGER,1
SAMUEL HOPKINS ADAMS,2
LOUIS ADAMIC,1
THOMAS PYNCHON,6
FANNY HURST,1
MARY O'HARA,3
MICHAEL M. THOMAS,1
B.J. CHUTE,2
ROBERT C. RUARK,1
ALAN BRADLEY,7
NICK BANTOCK,3
JAMES GOULD COZZENS,3
DAVID EDDINGS.,1
KAREN ROBARDS,8
FANNIE FLAGG,7
LAWRENCE SANDERS,22
JAMES PATTERSON AND DAVID ELLIS,6
WINSTON GROOM,1
MARK GREANEY,8
SIGRID UNDSET,2
BRUCE LANCASTER,3
THOMAS W. DUNCAN,1
STEPHEN KING AND RICHARD CHIZMAR,1
EDISON MARSHALL,2
J. P. MARQUAND,1
V. S. NAIPAUL,2
JEANNETTE WALLS,2
GREG BEAR,2
JODI PICOULT,14
CHARLES G. NORRIS,3
FAYE KELLERMAN,12
THOMAS HARRIS,6
RUTH BEEBE HILL,1
ANGELA MACKAIL THIRKELL,3
GARRISON KEILLOR,10
HELEN HULL,2
MORRIS WEST,8
JIMMY BUFFETT,3
NORMAN MAILER,9
JAMES E. BASSETT,1
ELIZABETH JENKINS,1
TAMSYN MUIR,1
A.M. MAUGHAN,1
J. K. ROWLING,4
JAMES PATTERSON AND JAMES O. BORN,4
JILL ALEXANDER ESSBAUM,1
W.E.B. GRIFFIN AND WILLIAM E. BUTTERWORTH IV,5
DOMINICK DUNNE,5
ELIZABETH MADOX ROBERTS,1
JOSEPH C. LINCOLN,4
FRANZ WERFEL,4
HONOR TRACY,2
NORA EPHRON,1
CHELSEA CAIN,2
CHARLES JACKSON,3
HERBERT TARR,1
THORNTON WILDER,4
JANET DAILEY,6
EVELYN WAUGH,7
ANGUS WILSON,3
SAUL BELLOW,9
FRANCINE RIVERS,3
AUDREY NIFFENEGGER,2
MARY BALOGH,3
DOROTHY PARKER,2
ELIN HILDERBRAND,18
ANTHONY WEST,1
SUSAN ELIZABETH PHILLIPS,7
TATIANA DE ROSNAY,2
KURT ANDERSEN,1
ALICE ALFONSI,1
SLOAN WILSON,3
RITA MAE BROWN,3
WILLIAM F. BUCKLEY JR,7
WILLIAM F. BUCKLEY JR.,1
JUDE DEVERAUX,13
THOMAS B. COSTAIN,8
JOHN KNOWLES,1
CHARMIAN CLIFT AND GEORGE JOHNSTON,1
SCOTT O'DELL,1
PAULO COELHO,4
CLEMENCE DANE,3
PAT FRANK,3
ODELL SHEPARD AND WILLARD SHEPARD,2
DAVID DUCHOVNY,1
RILEY SAGER,3
WILLIAM HUMPHREY,2
PATTI DAVIS WITH MAUREEN STRANGE FOSTER,1
CLEVELAND AMORY,1
YAA GYASI,2
RUTH CHATTERTON,1
H. L. DAVIS,1
W.E.B. GRIFFIN,3
WILLIAM DIEHL,3
WRITTEN AND ILLUSTRATED BY MATTIE J. T. STEPANEK,3
MAY SARTON,2
LAWRENCE BLOCK,1
PHILIP CAPUTO,1
C.S. FORESTER,8
ROBERT TRAVER,2
JOHN HERSEY,6
STEFAN HEYM,2
BARBARA RASKIN,1
ARTHUR HAILEY,7
ANITA BROOKNER,1
JAMIE FORD,2
FRED GIPSON,1
MARK HELPRIN,4
BEN AMES WILLIAMS,5
SARAH J. MAAS,1
DANIEL SILVA,22
WHITNEY OTTO,1
KATHERINE CENTER,2
JAMES PATTERSON AND EMILY RAYMOND WITH JILL DEMBOWSKI,1
HARRIETTE SIMPSON ARNOW,1
A.J. CRONIN,7
CHARLES TODD,2
K.B. GILDEN,1
LAURA LIPPMAN,5
WINIFRED VAN ETTEN,1
VINCENT MCHUGH,1
JEROME WELDMAN,1
DODIE SMITH,1
LOUIS AUCHINCLOSS,11
ALLISON PEARSON,1
GAIL GODWIN.,1
MARGARET CRAVEN,1
WALLY LAMB,3
ILKA CHASE,3
SOPHIE KINSELLA,12
MAX SHULMAN,3
JANE MENDELSOHN,1
EDWIN O'CONNOR,4
HALSEY,1
JUDITH KRANTZ.,1
NANCY WILSON ROSS,3
MARK HADDON,2
FREDERICK FORSYTH,15
SCOTT TUROW,11
JAMES BALDWIN,3
JOSEPHINE LAWRENCE,4
KATE WHITE,1
ROBERT NATHAN,8
SIDNEY SHELDON,16
JEN LANCASTER,1
RICHARD BACH,4
STEPHEN CHBOSKY,1
CLIVE BARKER,4
MILAN KUNDERA,2
BRET EASTON ELLIS,2
ELMER RICE,1
ROBERT VAN GELDER,1
PETER DAVID,2
FRANK SLAUGHTER,1
RUTH WARE,6
ELIZABETH TAYLOR,1
HARRY TURTLEDOVE,1
REBECCA SERLE,1
MARIO VARGAS LLOSA,1
CHAIM POTOK,5
MAX WHITE,1
SARAH DUNANT,2
GERALD A. BROWNE,2
SHARI LAPENA,5
MARVIN KALB AND TED KOPPEL,1
JUDY BLUME,5
NEVIL SHUTE,15
ROBERT P. KIRSCH,1
ELLEN GLASGOW,4
HALLDOR LAXNESS,1
DAN BROWN,5
TÉA OBREHT,1
P.D. JAMES,2
FRANCES FROST,1
ALISON WEIR,1
DAVE BARRY,3
LISA GENOVA,1
PAULA HAWKINS,2
ALLEGRA GOODMAN,1
MAXENCE VAN DER MEERSCH,1
LISA JEWELL,3
RALPH ELLISON,1
GARTH STEIN,2
ROSAMOND LEHMANN,4
FRANK DELANEY,1
JOHN HART,4
AUSTIN WRIGHT,1
JOSEPH KANON,3
JOSEPH FINK AND JEFFREY CRANOR,2
CHRISTIE GOLDEN,7
DAPHNE DU MAURIER,2
STEPHEN VINCENT BENET,1
BELLAMY PARTRIDGE,1
PETER BENCHLEY,5
CARL JONAS,1
PAUL WELLMAN,3
JIMMY STEWART,1
FREDERIC PROKOSCH,2
JIMMY STEWART.,1
ELIZABETH FORSYTHE HAILEY,1
ELIZABETH FORSYTHE HAILEY,2
WILLIAM DONOHUE ELLIS,2
SUSANNA CLARKE,2
JULIA LONDON WITH ALINA ADAMS,1
LION FEUCHTWANGER,5
JOSEPH F. GIRZONE,2
JAMES MICHENER.,2
WRITTEN AND ILLUSTRATED BY MATTIE J.T. STEPANEK,1
LOUIS-FERDINAND CELINE,1
BETTY SMITH,4
GWEN BRISTOW,4
JAMES PATTERSON AND ANDREW GROSS,4
ERIC AMBLER,3
ANNE FORTIER,1
ERNESTINE GILBRETH CAREY,1
JAMES PATTERSON AND NANCY ALLEN,1
STEFAN ZWEIG,1
SALLY SALMINEN,1
GEORGE ORWELL,3
JOHN JACKSON MILLER,1
J.D. GILMAN AND JOHN CLIVE,1
STEPHEN WHITE,4
JAMES PATTERSON AND MARSHALL KARP,6
ROBERT JAMES WALLER,5
RIDLEY PEARSON,3
CALEB CARR,3
KHALED HOSSEINI,2
LISA ALTHER,1
GUY ENDORE,2
MARY DORIA RUSSELL,1
HENRY BELLAMANN,2
ED MCBAIN,1
ADRIANA TRIGIANI,9
ROALD DAHL,1
MICKEY SPILLANE,1
NALINI SINGH,2
HORACE MCCOY,2
CHRISTOPHER MORLEY,2
ERSKINE CALDWELL,1
JO NESBO,8
WILLARD MOTLEY,3
RAYMOND E. FEIST,4
KATE MOSSE,1
SHIRLEY CONRAN,1
ELLIN BERLIN,1
THOMAS TRYON.,1
D.H. LAWRENCE,1
ROMAIN GARY,2
CAROLINE MILLER,1
LAEL TUCKER,1
RAINBOW ROWELL,1
MAZO DE LA ROCHE,3
AGNAR MYKLE,1
IVAN DOIG,1
ISAK DINESEN,2
P. G. WODEHOUSE,5
VINCENT LARDO,4
NICHOLAS MONSARRAT,6
RUMAAN ALAM,1
OLIVE ANN BURNS,1
JAMES A. MICHENER,1
WILLIAM PETER BLATTY,2
GEOFFREY JENKINS,1
PAUL BOWLES,2
RICHARD FORD,2
ROBERT GALBRAITH,5
L. RON HUBBARD AND DAVE WOLVERTON,1
MARTHA GELLHORN,1
WILLIAM STYRON,4
JOHN P. MARQUAND,9
CHUCK WENDIG,4
DAN JENKINS,2
YANN MARTEL,2
ELIZABETH FORSYTHE HALLEY,1
JAMES PATTERSON AND CHRIS TEBBETTS,1
NELSON ALGREN,2
CLARENCE DAY,1
AGATHA YOUNG,1
ANITA SHREVE,9
ARCHIE BINNS,1
LAURA ESQUIVEL,2
ROBERT M. PIRSIG,1
MARTHA HALL KELLY,2
J.R. SALAMANCA,1
SUSAN ISAACS,7
GEORGE SAUNDERS,2
LISA KLEYPAS,4
SHARON KAY PENMAN,2
MARGHANITA LASKI,1
TOM PERROTTA,4
CELESTE NG,1
HANS FALLADA,1
BOOTH TARKINGTON,3
DENNIS LEHANE,7
ANNE PARRISH,2
GUNTER GRASS,2
VLADIMIR NABOKOV,3
EDWARD RUTHERFURD,7
MARTIN AMIS,2
LIZ MOORE,1
C.J. BOX,5
MACKINLAY KANTOR,4
HANAMA TASAKI,1
WALTER BAXTER,1
LEGRAND CANNON,1
JUDITH ROSSNER,3
